Journal,Title,Authors,Author_Information,Abstract,
1. Int J Equity Health. 2024 Mar 18;23(1):60. doi: 10.1186/s12939-024-02111-9.,"Letter to the editor: will it be possible to achieve the global nutrition 
targets in Mexico by 2030?","Ancira-Moreno M(1)(2), Hernández-Cordero S(3)(4).","Author information:
(1)Departamento de Salud, Universidad Iberoamericana, Ciudad de México, México.
(2)Observatorio Materno Infantil (OMI), Universidad Iberoamericana, Ciudad de 
México, México.
(3)Observatorio Materno Infantil (OMI), Universidad Iberoamericana, Ciudad de 
México, México. sonia.hernandez@ibero.mx.
(4)Instituto de Investigaciones para el Desarrollo con Equidad, Universidad 
Iberoamericana, Ciudad de México, México. sonia.hernandez@ibero.mx.","In May 2012, the 65th World Health Assembly (WHA) approved six global nutrition 
targets by 2025 aimed to reduce stunting in children under five by 40%, maintain 
childhood wasting below 5%, halt obesity, cut anemia in women by 50%, lower low 
birth weight prevalence by 30%, and increase exclusive breastfeeding (EBF) 
within the first 6 months to 50%. These targets were extended to 2030, with all 
of them remaining as originally planned, but the EBF one (increased to 70%), 
wasting and overweight (both objectives set to eliminate them to negligible 
concern). Mexico is projected to achieve only one of the six nutrition targets 
(wasting) by 2025, falling far short of the stunting, low birth weight, anemia, 
and exclusive breastfeeding for the updated goals by 2030. This letter to the 
editor describes the most recent prevalence of malnutrition among mothers and 
children in Mexico. It discusses the challenges pregnant women and children 
under five years of age face exercising their right to good food, nutrition, and 
development. The authors reflect on the urgent need to make structural changes 
to achieve the global nutrition targets by 2030, highlighting the paramount 
importance of addressing the profound structural obstacles in Mexico and how 
Mexico's government must prioritize poverty reduction, reduce the marked 
inequalities, enhance the quality of nutritional care and healthcare 
infrastructure, and implement climate-resilient agricultural practices to 
address this pressing issue.",
2. Saudi Med J. 2024 Mar;45(3):273-278. doi: 10.15537/smj.2024.45.3.20230774.,"Factors related to stunting in children under 2 years old in the Papua, 
Indonesia: Does the type of residence matter?","Ashar H(1), Laksono AD(1), Supadmi S(1), Kusumawardani HD(1), Yunitawati D(1), 
Purwoko S(1), Khairunnisa M(1).","Author information:
(1)From the Public Health and Nutrition Research Center, National Research and 
Innovation Agency Republic of Indonesia, Jakarta, Indonesia.","OBJECTIVES: To analyze factors related to stunting in Papua region.
METHODS: Secondary data from the 2021 Indonesian National Nutrition Status 
Survey were used in this study. Samples of 2,937 Papuan children under the age 
of two were gathered for the study. This study analyzed independent variables 
(type of residence, mother's age, marriage, mother's education, employment, 
wealth, child's age, gender, and early breastfeeding initiation (EBFI) with 
stunting. The relationship was analyzed using logistic regression tests.
RESULTS: Stunting is more common among children in Papua's rural areas than in 
urban (AOR 1.168, 95% CI, 1.128-1.209). Stunting is more common in children who 
mother do not work than in mothers who do (AOR 1.174, 95% CI, 1.142- 1.207). 
Stunting is more common in children aged 12-23 months compared to children <12 
months (AOR 3.381, 95% CI, 3.291-3.474). Compared to girls, boys are more likely 
to become stunted (AOR 1.348, 95% CI, 1,314-1,383). Children under the age of 
two who do not experience EBFI are at higher risk than those who have (AOR 
1.078, 95% CI, 1.050-1.106).
CONCLUSION: There are eight variables associated with stunting, namely 
residence, age of mother, mother's education, mother's occupation, economic 
status, child's age, gender, and EBFI. Prioritization of stunting interventions 
in Papua should be targeted at mothers who living in rural, having low 
education, and not doing early breastfeeding initiation.",
"3. Front Nutr. 2024 Feb 16;11:1366174. doi: 10.3389/fnut.2024.1366174.
eCollection  2024.",Dietary proteins: from evolution to engineering.,Daniel H(1).,"Author information:
(1)School of Life Sciences, Technical University of Munich, Freising, Germany.","Because of the indispensable amino acids dietary proteins are the most important 
macronutrients. Proper growth and body maintenance depends on the quantity and 
quality of protein intake and proteins have thus been most crucial throughout 
evolution with hominins living in quite diverse food ecosystems. Developments in 
agriculture and food science have increased availability and diversity of food 
including protein for a rapidly growing world population while nutrient 
deficiencies resulting in stunting in children for example have been reduced. 
Nevertheless, the developing world and growing population needs more protein of 
high quality - with around 400 million tons per annum estimated for 2050. In 
contrary, protein consumption in all developed countries exceeds meanwhile the 
recommended intakes considerably with consequences for health and the 
environment. There is a growing interest in dietary proteins driven by the quest 
for more sustainable diets and the increasing food demand for a growing world 
population. This brings new and novel sources such as algae, yeast, insects or 
bacteria into play in delivering the biomass but also new technologies such as 
precision fermentation or in vitro meat/fish or dairy. What needs to be 
considered when such new protein sources are explored is that proteins need to 
provide not only the required amino acids but also functionality in the food 
produced thereof. This review considers human physiology and metabolism in the 
context of protein intake from an evolutionary perspective and prospects on 
future protein production.",
4. BMC Public Health. 2024 Feb 16;24(1):488. doi: 10.1186/s12889-024-17975-3.,"Impact of indoor Air Pollution on the Linear growth of children in Jimma, 
Ethiopia.","Mulat E(1), Tamiru D(2), Abate KH(2).","Author information:
(1)Department of Biomedical Sciences, Institute of Health, Jimma University, 
Jimma, Ethiopia. mulatelias6@gmail.com.
(2)Department of Nutrition and Dietetics, Food and Nutrition Research Institute, 
Jimma University, Jimma, Ethiopia.","BACKGROUND: Stunting in children is the term for reduced linear growth and 
development, which is frequently brought on by a persistently inadequate diet, 
recurrent infections and chronic diseases or poor health conditions. Apart from 
the classic covariates of stunting, which include diet and illness, the relative 
contribution of household air pollution to chronic nutrition conditions is least 
studied. Hence, this study is conducted to investigate the impact of household 
air pollution on the linear growth of under-five children in Jimma town, 
Ethiopia.
METHODS: A prospective cohort study was employed to collect data from 280 
under-five children who lived in households using solid fuel (exposed group, 
n = 140) and clean fuel (unexposed group, n = 140). Height-for-age Z scores were 
compared in both groups over a 12-month follow-up period. The difference in 
differences estimators were used for comparison of changes in the height-for-age 
Z scores from baseline to end line in exposed and non-exposed groups. The 
independent effect of the use of solid fuels on height-for-age Z scores was 
analyzed through a multivariable linear regression model. Statistical 
Significances were declared at P < 0.05 and 95% CI level.
RESULTS: In an unadjusted model (Model 1), compared with the clean fuel type, 
the mean difference in the height-for-age Z score of children in households 
using solid fuel was lower by 0.54 (-0.54, 95% CI -0.97, -0.12, P = 0.011). The 
beta coefficient remained negative after adjusting for age and sex (Model 2 
-0.543, 95% CI -1.373, -0.563) and sociodemographic variables (Model 3: -0.543, 
95% CI -1.362, -0.575). In the final model (Model 4), which adjusted for wealth 
quantile, dietary practice, water, sanitation and hygiene status and household 
food insecurity access scale, the beta coefficient held the same and significant 
(beta: -0.543, 95% CI -1.357, -0.579, P < 0.001). Higher HAZ scores were 
observed among female child (β: = 0.48, 95%CI: 0.28, 0.69), Child with father 
attended higher education (β: = 0.304 95%CI: 0.304, 95% CI 0.19, 0.41) as 
compared to male gender and those who did not attend a formal education, 
respectively. In contrast, child living in households with poor hygiene 
practices had lower HAZ score (β: -0.226, 95% CI: -0.449, -0.003), P < 0.001.
CONCLUSIONS: Exposure to indoor air pollution was inversely related to linear 
growth. Furthermore, sex, educational status and hygiene were found relevant 
predictors of linear growth. In such a setting, there is a need to step up 
efforts to design and implement public education campaigns regarding the health 
risks associated with exposure to household air pollution. Promoting 
improvements to kitchen ventilation and the use of improved cooking stoves, 
which will help to mitigate the detrimental effects of indoor air pollution on 
child growth impairment and its long-term effects.",
"5. Glob Qual Nurs Res. 2024 Jan 19;11:23333936231221753. doi: 
10.1177/23333936231221753. eCollection 2024 Jan-Dec.","Family Resilience With Stunted Children Aged Below 5 Years: A Qualitative Study 
in Depok City, Indonesia.","Rahmadiyah DC(1), Sahar J(1), Widyatuti(1), Sartika RAD(1), Hassan H(2).","Author information:
(1)Universitas Indonesia, Depok, West Java, Indonesia.
(2)Unversiti Tunku Abdul Rahman, Selangor, Malaysia.","Stunting is influenced by family and household factors that affect toddler 
nutrition. As the primary provider of both physical and psychological resources 
to prevent health problems, the family has a significant role in preventing 
stunting. Family resilience in supporting child health is mediated by family 
functioning. A qualitative descriptive study explored the influence of family 
resilience in fulfilling the nutritional needs of stunted children. This study 
involved in-depth interviews with 23 mothers of stunted children aged 24 to 
59 months. Through content analysis, we identified three main themes: (1) family 
belief that stunting is hereditary, (2) family belief that stunted children will 
""grow up,"" and (3) lack of communication between family members in discussing 
stunting. Future studies should explore intervention models to increase family 
resilience and prevent stunting in children under five.",
"6. Matern Child Nutr. 2024 Jan 9:e13609. doi: 10.1111/mcn.13609. Online ahead of 
print.","Association between household food insecurity and stunting in children aged 0-59 
months: Systematic review and meta-analysis of cohort studies.","Patriota ÉSO(1), Abrantes LCS(2), Figueiredo ACMG(3), Pizato N(4), Buccini G(5), 
Gonçalves VSS(1).","Author information:
(1)Graduate Program in Public Health, Faculty of Health Sciences, University of 
Brasília, Brasilia, Distrito Federal, Brazil.
(2)Department of Nutrition and Health, Graduate Program in Nutrition Science, 
Federal University of Viçosa (UFV), Viçosa, Brazil.
(3)Epidemiology Surveillance, Federal District Health State Department, 
Brasília, Federal District, Brazil.
(4)Graduate Program in Human Nutrition, Faculty of Health Sciences, University 
of Brasília, Brasilia, Distrito Federal, Brazil.
(5)Department of Social and Behavioral Health, University of Nevada, Las Vegas, 
USA.","Household food insecurity (HFI) during childhood is associated with poor dietary 
diversity and malnutrition, placing children's growth at risk. Children with 
growth disorders, such as stunting, are more likely to have poor cognition and 
educational performance, lower economic status, and an increased risk of 
nutrition-related chronic diseases in adulthood. Our study aimed to 
systematically review and conduct a meta-analysis of cohort studies 
investigating the association between HFI and stunting in children aged 0-59 
months. Peer-reviewed and grey literature were systematically searched in 
electronic databases with no language or date restrictions. Two reviewers 
independently assessed the studies for pre-established eligibility criteria. 
Data were extracted using a standard protocol. Random-effects meta-analysis 
models were used, and I2  > 40% indicated high heterogeneity across studies. We 
used the Grading of Recommendations Assessment, Development, and Evaluation 
system to assess the quality of the evidence. Nine cohort studies comprising 
46,300 children were included. Approximately 80% (n = 7) of the studies found a 
positive association between HFI and stunting. Pooled odds ratio was 1.00 (95% 
confidence interval [CI]: 0.87-1.14; I2 : 76.14%). The pooled hazard ratio 
between moderate and severe HFI and stunting was 1.02 (95% CI: 0.84-1.22; I2 : 
85.96%). Due to high heterogeneity, the quality of evidence was very low. 
Individual studies showed an association between HFI and stunting in children 
aged 0-59 months; however, this association was not sustained in the pooled 
analysis, possibly because of high heterogeneity across studies.",
7. BMC Pediatr. 2024 Jan 9;24(1):30. doi: 10.1186/s12887-023-04500-5.,"Women empowerment and childhood stunting: evidence from rural northwest 
Ethiopia.","Wassie EG(1), Tenagashaw MW(2), Tiruye TY(3)(4).","Author information:
(1)College of Health Sciences, Debre Markos University, Debre Markos, Ethiopia.
(2)Applied Human Nutrition Department, Faculty of Chemical and Food Engineering, 
Bahir Dar University, Bahir Dar, Amhara Region, Ethiopia.
(3)School of Public Health, Debre Markos University, Debre Markos, Ethiopia. 
tenyim09@gmail.com.
(4)Allied Health and Human Performance, University of South Australia, Adelaide, 
Australia. tenyim09@gmail.com.","BACKGROUND: Women are often the primary caregivers of children, and as such, 
their empowerment could influence the nutritional status of their children. 
However, the role of maternal empowerment on the nutritional status of children 
in Ethiopia is largely unknown.
AIM: To determine the association of women's empowerment with childhood stunting 
in rural northwest Ethiopia.
METHODS: A community-based cross-sectional study was conducted among 582 mothers 
with children aged 6-59 months. A multistage sampling technique was used to 
select the study participants. Binomial logistic regression analyses were used 
to assess whether women's empowerment (categorized as low, moderate and high) 
and its five dimensions (household decision-making, educational status, cash 
earnings, house/land ownership, and membership in community groups) were 
associated with stunting in children. Odds ratios with 95% CI were estimated, 
and statistical significance was declared at a p-value of < 0.05.
RESULTS: A total of 114 (19.6%), 312 (53.6%), and 156 (26.8%) participants had 
low, moderate, and high empowerment levels, respectively. In addition, 255 
(43.8%) mothers had children who were stunted (too short for their age). In the 
adjusted models, mothers with moderate empowerment (AOR 0.60, 95% CI: 0.35, 
0.97) and high empowerment (AOR 0.56, 95% CI: 0.37, 0.86) had lower odds of 
having stunted children compared to mothers with low empowerment. Mothers who 
had a secondary education or higher (AOR 0.57, 95% CI: 0.35, 0.93), owned a 
house or land (AOR 0.64, 95% CI: 0.44, 0.94) and were members of community 
groups (AOR 0.54, 95% CI: 0.36, 0.80) were less likely to have stunted children.
CONCLUSION: High women empowerment was significantly associated with a lower 
likelihood of childhood stunting. The findings suggest a need to look beyond the 
direct causes of stunting and incorporate targeted strategies for empowering 
women into child nutrition programs.",
"8. Front Public Health. 2023 Dec 11;11:1234893. doi: 10.3389/fpubh.2023.1234893. 
eCollection 2023.","The bi-directional relationship between growth stunting and early childhood 
caries: a rapid review.","Aulia RN(1), Indriyanti R(2), Setiawan AS(2).","Author information:
(1)Dental Education Program, Faculty of Dentistry, Universitas Padjadjaran, 
Bandung, Indonesia.
(2)Department of Pediatric Dentistry, Faculty of Dentistry, Universitas 
Padjadjaran, Bandung, Indonesia.","OBJECTIVE: This review aims to determine the two-way relationship between 
stunting and ECC in developing countries worldwide.
METHODS: The procedure in this study was carried out using the Preferred 
Reporting Items for Systematic Reviews and Meta-Analysis-Rapid Review protocol. 
Article searches were carried out using databases Cochrane and PubMed. In 
addition, searches were also carried out using backward and forward snowballing 
techniques to identify articles that were not detected through database 
searches.
RESULTS: Nine observational epidemiological articles were found in children aged 
six months to six years, published in 2015-2020. Five articles discussed the 
features of ECC in stunted children, and the other five discussed stunting in 
children with caries in their primary teeth.
CONCLUSION: Several studies found associations between severe ECC and stunting, 
with ECC and stunting as both independent and dependent variables, suggesting a 
bi-directional relationship, also supported by literature on the physiological 
relationship between oral health and nutrition.",
"9. J Urban Health. 2023 Dec 18. doi: 10.1007/s11524-023-00806-y. Online ahead of 
print.","Coverage, Trends, and Inequalities of Maternal, Newborn, and Child Health 
Indicators among the Poor and Non-Poor in the Most Populous Cities from 38 
Sub-Saharan African Countries.","Blumenberg C(1)(2)(3), Costa JC(4)(5), Ricardo LI(4), Jacobs C(6), Ferreira 
LZ(4), Vidaletti LP(4), Wehrmeister FC(4)(7)(8), Barros AJD(4)(7), Faye C(9), 
Boerma T(8).","Author information:
(1)International Center for Equity in Health, Federal University of Pelotas, 
Pelotas, Brazil. cblumenberg@equidade.org.
(2)Post-Graduate Program in Epidemiology, Federal University of Pelotas, 1160 
Marechal Deodoro St., 3rd floor, CEP 96020-220, Center, Pelotas, RS, Brazil. 
cblumenberg@equidade.org.
(3)Causale consultoria, Pelotas, Brazil. cblumenberg@equidade.org.
(4)International Center for Equity in Health, Federal University of Pelotas, 
Pelotas, Brazil.
(5)Harvard University, Boston, MA, USA.
(6)School of Public Health, University of Zambia, Lusaka, Zambia.
(7)Post-Graduate Program in Epidemiology, Federal University of Pelotas, 1160 
Marechal Deodoro St., 3rd floor, CEP 96020-220, Center, Pelotas, RS, Brazil.
(8)Institute for Global Public Health, University of Manitoba, Winnipeg, Canada.
(9)African Population and Health Research Center, Dakar, Senegal.","Rapid urbanization is likely to be associated with suboptimal access to 
essential health services. This is especially true in cities from sub-Saharan 
Africa (SSA), where urbanization is outpacing improvements in infrastructure. We 
assessed the current situation in regard to several markers of maternal, 
newborn, and child health, including indicators of coverage of health 
interventions (demand for family planning satisfied with modern methods, at 
least four antenatal care visits (ANC4+), institutional birth, and three doses 
of DPT vaccine[diphtheria, pertussis and tetanus]) and health status (stunting 
in children under 5 years, neonatal and under-5 mortality rates) among the poor 
and non-poor in the most populous cities from 38 SSA countries. We analyzed 136 
population-based surveys (year range 2000-2019), contrasting the poorest 40% of 
households (referred to as poor) with the richest 60% (non-poor). Coverage in 
the most recent survey was higher for the city non-poor compared to the poor for 
all interventions in virtually all cities, with the largest median gap observed 
for ANC4+ (13.5 percentage points higher for the non-poor). Stunting, neonatal, 
and under-5 mortality rates were higher among the poor (7.6 percentage points, 
21.2 and 10.3 deaths per 1000 live births, respectively). The gaps in coverage 
between the two groups were reducing, except for ANC4, with similar median 
average annual rate of change in both groups. Similar rates of change were also 
observed for stunting and the mortality indicators. Continuation of these 
positive trends is needed to eliminate inequalities in essential health services 
and child survival in SSA cities.",
"10. Front Psychol. 2023 Nov 27;14:1228413. doi: 10.3389/fpsyg.2023.1228413. 
eCollection 2023.","Eating behavior of adolescent girls in countries with a high prevalence of 
stunting under five: a systematic review.","Setiawan AS(1), Budiarto A(2), Indriyanti R(1).","Author information:
(1)Department of Pediatric Dentistry, Faculty of Dentistry, Universitas 
Padjadjaran, Bandung, West Java, Indonesia.
(2)Faculty of Psychology, Universitas Jenderal Achmad Yani, Bandung, West Java, 
Indonesia.","BACKGROUND: Adolescence is critical for physical and psychological growth, 
making healthy dietary behavior essential. Several countries face nutritional 
challenges due to a high prevalence of stunting in children under five, which 
can impact adolescent girls' eating behavior. This systematic review aims to 
provide evidence on the eating behavior of adolescent girls in such countries, 
offering insights for stunting prevention programs.
METHODS: We conducted a systematic review following PRISMA guidelines and 
registered it in PROSPERO. We employed a comprehensive search strategy across 
multiple databases. Study selection involved three stages: deduplication, 
title/abstract screening, and full-text review, with inter-reviewer agreement 
assessment.
RESULTS: The search identified 15 eligible studies from various countries, 
primarily utilizing cross-sectional designs. The studies focused on age ranges 
within adolescence and varied in sample size and assessment tools. The primary 
objective of these studies was to assess eating behavior, with outcomes related 
to dietary patterns, eating disorders, body image, and nutritional knowledge. 
The results revealed diverse eating behaviors among adolescent girls, including 
restrained eating, dieting for weight loss, craving-induced eating, and 
unhealthy dietary patterns. Many girls exhibited low dietary diversity, 
contributing to micronutrient deficiencies.
SUGGESTIONS: To address these issues effectively, stunting prevention programs 
and policies should prioritize the following strategies: implementing 
comprehensive nutritional education programs to enhance adolescents' knowledge 
of healthy eating habits and dietary diversity, providing resources and support 
for positive body image development to reduce the pressure for unhealthy 
dieting, improving access to affordable, nutrient-rich foods in both urban and 
rural areas, raising awareness about eating disorders and emphasizing early 
identification and intervention, engaging parents, caregivers, and communities 
in promoting healthy eating behaviors, and maintaining rigorous research and 
monitoring to adapt strategies based on evolving trends in adolescent eating 
behaviors.
CONCLUSION: Adolescent girls in countries with high stunting prevalence exhibit 
diverse eating behaviors that can impact their nutritional status and overall 
health. Addressing these behaviors is essential to prevent stunting and its 
long-term consequences, emphasizing the importance of comprehensive strategies 
and support for this vulnerable population.
SYSTEMATIC REVIEW REGISTRATION: 
https://www.crd.york.ac.uk/prospero/#recordDetails, identifier CRD42023389909.",
